2020-07-31 16:57:28 configure debianutils:armhf 4.9.1 <none>
2020-07-31 16:57:28 status unpacked debianutils:armhf 4.9.1
2020-07-31 16:57:28 status half-configured debianutils:armhf 4.9.1
2020-07-31 16:57:28 status installed debianutils:armhf 4.9.1
2020-07-31 16:57:28 configure mawk:armhf 1.3.4.20200120-2 <none>
2020-07-31 16:57:28 status unpacked mawk:armhf 1.3.4.20200120-2
2020-07-31 16:57:28 status half-configured mawk:armhf 1.3.4.20200120-2
2020-07-31 16:57:28 status installed mawk:armhf 1.3.4.20200120-2
2020-07-31 16:57:28 configure libdebconfclient0:armhf 0.251ubuntu1 <none>
2020-07-31 16:57:28 status unpacked libdebconfclient0:armhf 0.251ubuntu1
2020-07-31 16:57:28 status half-configured libdebconfclient0:armhf 0.251ubuntu1
2020-07-31 16:57:28 status installed libdebconfclient0:armhf 0.251ubuntu1
2020-07-31 16:57:28 configure base-files:armhf 11ubuntu5 <none>
2020-07-31 16:57:28 status unpacked base-files:armhf 11ubuntu5
2020-07-31 16:57:28 status half-configured base-files:armhf 11ubuntu5
2020-07-31 16:57:28 status installed base-files:armhf 11ubuntu5
2020-07-31 16:57:28 configure libbz2-1.0:armhf 1.0.8-2 <none>
2020-07-31 16:57:28 status unpacked libbz2-1.0:armhf 1.0.8-2
2020-07-31 16:57:28 status half-configured libbz2-1.0:armhf 1.0.8-2
2020-07-31 16:57:28 status installed libbz2-1.0:armhf 1.0.8-2
2020-07-31 16:57:28 configure base-passwd:armhf 3.5.47 <none>
2020-07-31 16:57:28 status unpacked base-passwd:armhf 3.5.47
2020-07-31 16:57:28 status half-configured base-passwd:armhf 3.5.47
2020-07-31 16:57:28 status installed base-passwd:armhf 3.5.47
2020-07-31 16:57:28 configure libdb5.3:armhf 5.3.28+dfsg1-0.6ubuntu2 <none>
2020-07-31 16:57:28 status unpacked libdb5.3:armhf 5.3.28+dfsg1-0.6ubuntu2
2020-07-31 16:57:28 status half-configured libdb5.3:armhf 5.3.28+dfsg1-0.6ubuntu2
2020-07-31 16:57:28 status installed libdb5.3:armhf 5.3.28+dfsg1-0.6ubuntu2
2020-07-31 16:57:28 configure libblkid1:armhf 2.34-0.1ubuntu9 <none>
2020-07-31 16:57:28 status unpacked libblkid1:armhf 2.34-0.1ubuntu9
2020-07-31 16:57:28 status half-configured libblkid1:armhf 2.34-0.1ubuntu9
